"","Type","Location","Volume","Fraction","Time","Clot"
"1","Tightly Adherent","Extravascular",0.000354,22.0149253731343,1,"6.21.17 WT1 1 min.csv"
"2","Tightly Adherent","Intravascular",0.00066,41.044776119403,1,"6.21.17 WT1 1 min.csv"
"3","Tightly Adherent","Cavity",0.000594,36.9402985074627,1,"6.21.17 WT1 1 min.csv"
"4","Loosely Adherent","Extravascular",4.532e-06,15.8061300720344,1,"6.21.17 WT1 1 min.csv"
"5","Loosely Adherent","Intravascular",7.00922e-06,24.4458612143656,1,"6.21.17 WT1 1 min.csv"
"6","Loosely Adherent","Cavity",1.71312e-05,59.7480087136,1,"6.21.17 WT1 1 min.csv"
"7","Degranulated","Extravascular",2.898e-06,3.25332854352365,1,"6.21.17 WT1 1 min.csv"
"8","Degranulated","Intravascular",7.394e-05,83.005904937246,1,"6.21.17 WT1 1 min.csv"
"9","Degranulated","Cavity",1.224e-05,13.7407665192303,1,"6.21.17 WT1 1 min.csv"
"10","Tightly Adherent","Extravascular",0.00179,57.7792123950936,1,"4.18.19 WT5 1 min no-p.csv"
"11","Tightly Adherent","Intravascular",0.000424,13.6862491930278,1,"4.18.19 WT5 1 min no-p.csv"
"12","Tightly Adherent","Cavity",0.000884,28.5345384118786,1,"4.18.19 WT5 1 min no-p.csv"
"13","Loosely Adherent","Extravascular",0.0002087,55.0950369588173,1,"4.18.19 WT5 1 min no-p.csv"
"14","Loosely Adherent","Intravascular",0.000103,27.1911298838437,1,"4.18.19 WT5 1 min no-p.csv"
"15","Loosely Adherent","Cavity",6.71e-05,17.713833157339,1,"4.18.19 WT5 1 min no-p.csv"
"16","Degranulated","Extravascular",6.48e-05,50.5736361507844,1,"4.18.19 WT5 1 min no-p.csv"
"17","Degranulated","Intravascular",2.363e-05,18.4422071333802,1,"4.18.19 WT5 1 min no-p.csv"
"18","Degranulated","Cavity",3.97e-05,30.9841567158355,1,"4.18.19 WT5 1 min no-p.csv"
"19","Tightly Adherent","Extravascular",0.000282,37.8421900161031,1,"2.11.19 WT4 1 min p.csv"
"20","Tightly Adherent","Intravascular",9.82e-05,13.1776704240472,1,"2.11.19 WT4 1 min p.csv"
"21","Tightly Adherent","Cavity",0.000365,48.9801395598497,1,"2.11.19 WT4 1 min p.csv"
"22","Loosely Adherent","Extravascular",0,0,1,"2.11.19 WT4 1 min p.csv"
"23","Loosely Adherent","Intravascular",1.125e-05,99.7853506235476,1,"2.11.19 WT4 1 min p.csv"
"24","Loosely Adherent","Cavity",2.42e-08,0.214649376452431,1,"2.11.19 WT4 1 min p.csv"
"25","Degranulated","Extravascular",4.7e-05,49.5832893765165,1,"2.11.19 WT4 1 min p.csv"
"26","Degranulated","Intravascular",5.49e-06,5.79175018461863,1,"2.11.19 WT4 1 min p.csv"
"27","Degranulated","Cavity",4.23e-05,44.6249604388649,1,"2.11.19 WT4 1 min p.csv"
"28","Tightly Adherent","Extravascular",0.002097,73.3986699334967,5,"9.18.18 WT2 5 min.csv"
"29","Tightly Adherent","Intravascular",0.000219,7.66538326916346,5,"9.18.18 WT2 5 min.csv"
"30","Tightly Adherent","Cavity",0.000541,18.9359467973399,5,"9.18.18 WT2 5 min.csv"
