"","Time","Type","Volume"
"1",1,"Tight",0.001608
"2",1,"Tight",0.003098
"3",1,"Tight",0.0007452
"4",5,"Tight",0.002857
"5",5,"Tight",0.0011226
"6",5,"Tight",0.00464
"7",5,"Tight",0.0022289
"8",20,"Tight",0.00339508
"9",20,"Tight",0.0016856
"10",1,"Loose",2.867242e-05
"11",1,"Loose",0.0003788
"12",1,"Loose",1.12742e-05
"13",5,"Loose",0.0002640529
"14",5,"Loose",0.0013407
"15",5,"Loose",0.000852371
"16",5,"Loose",0.000687205384
"17",20,"Loose",0.0004981
"18",20,"Loose",0.000609818
"19",1,"Degranulated",8.9078e-05
"20",1,"Degranulated",0.00012813
"21",1,"Degranulated",9.479e-05
"22",5,"Degranulated",0.000404
"23",5,"Degranulated",0.000146756
"24",5,"Degranulated",0.0009636
"25",5,"Degranulated",0.00010992
"26",20,"Degranulated",7.77848e-05
"27",20,"Degranulated",0.000114477
