"","Type","Location","Volume","Fraction","Time","Clot"
"7","Degranulated","Extravascular",2.898e-06,3.25332854352365,1,"6.21.17 WT1 1 min.csv"
"8","Degranulated","Intravascular",7.394e-05,83.005904937246,1,"6.21.17 WT1 1 min.csv"
"9","Degranulated","Cavity",1.224e-05,13.7407665192303,1,"6.21.17 WT1 1 min.csv"
"16","Degranulated","Extravascular",6.48e-05,50.5736361507844,1,"4.18.19 WT5 1 min no-p.csv"
"17","Degranulated","Intravascular",2.363e-05,18.4422071333802,1,"4.18.19 WT5 1 min no-p.csv"
"18","Degranulated","Cavity",3.97e-05,30.9841567158355,1,"4.18.19 WT5 1 min no-p.csv"
"25","Degranulated","Extravascular",4.7e-05,49.5832893765165,1,"2.11.19 WT4 1 min p.csv"
"26","Degranulated","Intravascular",5.49e-06,5.79175018461863,1,"2.11.19 WT4 1 min p.csv"
"27","Degranulated","Cavity",4.23e-05,44.6249604388649,1,"2.11.19 WT4 1 min p.csv"
"34","Degranulated","Extravascular",3e-04,74.2574257425743,5,"9.18.18 WT2 5 min.csv"
"35","Degranulated","Intravascular",4.69e-05,11.6089108910891,5,"9.18.18 WT2 5 min.csv"
"36","Degranulated","Cavity",5.71e-05,14.1336633663366,5,"9.18.18 WT2 5 min.csv"
"43","Degranulated","Extravascular",0.0001312,89.4000926708278,5,"2.11.19 WT6 5 min no-p.csv"
"44","Degranulated","Intravascular",1.656e-06,1.12840360871106,5,"2.11.19 WT6 5 min no-p.csv"
"45","Degranulated","Cavity",1.39e-05,9.47150372046117,5,"2.11.19 WT6 5 min no-p.csv"
"52","Degranulated","Extravascular",9.73e-05,10.0975508509755,5,"2.11.19 WT5 5 min no-p.csv"
"53","Degranulated","Intravascular",0.000788,81.7766708177667,5,"2.11.19 WT5 5 min no-p.csv"
"54","Degranulated","Cavity",7.83e-05,8.12577833125778,5,"2.11.19 WT5 5 min no-p.csv"
"61","Degranulated","Extravascular",3.93e-05,35.7532751091703,5,"12.13.18 WT4 5 min.csv"
"62","Degranulated","Intravascular",6.01e-05,54.6761280931587,5,"12.13.18 WT4 5 min.csv"
"63","Degranulated","Cavity",1.052e-05,9.57059679767103,5,"12.13.18 WT4 5 min.csv"
"70","Degranulated","Extravascular",7.72e-05,99.2481821641246,20,"7.30.19 S2 20 min.csv"
"71","Degranulated","Intravascular",2.262e-07,0.290802316133743,20,"7.30.19 S2 20 min.csv"
"72","Degranulated","Cavity",3.586e-07,0.461015519741646,20,"7.30.19 S2 20 min.csv"
"79","Degranulated","Extravascular",0.0001082,94.5168025018126,20,"8.27.19 S4 20 min.csv"
"80","Degranulated","Intravascular",3.27e-07,0.28564689850363,20,"8.27.19 S4 20 min.csv"
"81","Degranulated","Cavity",5.95e-06,5.19755059968378,20,"8.27.19 S4 20 min.csv"
