"","Type","Location","Volume","Fraction","Time","Clot"
"1","Tightly Adherent","Extravascular",0.000354,22.0149253731343,1,"6.21.17 WT1 1 min.csv"
"2","Tightly Adherent","Intravascular",0.00066,41.044776119403,1,"6.21.17 WT1 1 min.csv"
"3","Tightly Adherent","Cavity",0.000594,36.9402985074627,1,"6.21.17 WT1 1 min.csv"
"10","Tightly Adherent","Extravascular",0.00179,57.7792123950936,1,"4.18.19 WT5 1 min no-p.csv"
"11","Tightly Adherent","Intravascular",0.000424,13.6862491930278,1,"4.18.19 WT5 1 min no-p.csv"
"12","Tightly Adherent","Cavity",0.000884,28.5345384118786,1,"4.18.19 WT5 1 min no-p.csv"
"19","Tightly Adherent","Extravascular",0.000282,37.8421900161031,1,"2.11.19 WT4 1 min p.csv"
"20","Tightly Adherent","Intravascular",9.82e-05,13.1776704240472,1,"2.11.19 WT4 1 min p.csv"
"21","Tightly Adherent","Cavity",0.000365,48.9801395598497,1,"2.11.19 WT4 1 min p.csv"
"28","Tightly Adherent","Extravascular",0.002097,73.3986699334967,5,"9.18.18 WT2 5 min.csv"
"29","Tightly Adherent","Intravascular",0.000219,7.66538326916346,5,"9.18.18 WT2 5 min.csv"
"30","Tightly Adherent","Cavity",0.000541,18.9359467973399,5,"9.18.18 WT2 5 min.csv"
"37","Tightly Adherent","Extravascular",0.001025,91.3058970247639,5,"2.11.19 WT6 5 min no-p.csv"
"38","Tightly Adherent","Intravascular",2.92e-05,2.60110457865669,5,"2.11.19 WT6 5 min no-p.csv"
"39","Tightly Adherent","Cavity",6.84e-05,6.09299839657937,5,"2.11.19 WT6 5 min no-p.csv"
"46","Tightly Adherent","Extravascular",0.001279,27.5646551724138,5,"2.11.19 WT5 5 min no-p.csv"
"47","Tightly Adherent","Intravascular",0.002758,59.4396551724138,5,"2.11.19 WT5 5 min no-p.csv"
"48","Tightly Adherent","Cavity",0.000603,12.9956896551724,5,"2.11.19 WT5 5 min no-p.csv"
"55","Tightly Adherent","Extravascular",0.001266,56.799318049262,5,"12.13.18 WT4 5 min.csv"
"56","Tightly Adherent","Intravascular",0.000763,34.2321324420118,5,"12.13.18 WT4 5 min.csv"
"57","Tightly Adherent","Cavity",0.0001999,8.96854950872628,5,"12.13.18 WT4 5 min.csv"
"64","Tightly Adherent","Extravascular",0.00324,95.4322136739046,20,"7.30.19 S2 20 min.csv"
"65","Tightly Adherent","Intravascular",2.348e-05,0.691589005266444,20,"7.30.19 S2 20 min.csv"
"66","Tightly Adherent","Cavity",0.0001316,3.87619732082896,20,"7.30.19 S2 20 min.csv"
"73","Tightly Adherent","Extravascular",0.001082,64.1907925961082,20,"8.27.19 S4 20 min.csv"
"74","Tightly Adherent","Intravascular",0.0001636,9.70574276222117,20,"8.27.19 S4 20 min.csv"
"75","Tightly Adherent","Cavity",0.00044,26.1034646416706,20,"8.27.19 S4 20 min.csv"
